42,ICMP PING,2018年-05月-20日  12:47:53.601892,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,611866,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
43,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601927,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,611953,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
44,ICMP PING NMAP,2018年-05月-20日  12:47:53.601927,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,612051,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
45,ICMP PING,2018年-05月-20日  12:47:53.601927,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,612139,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
46,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601961,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,612220,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
47,ICMP PING NMAP,2018年-05月-20日  12:47:53.601961,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,612310,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
48,ICMP PING,2018年-05月-20日  12:47:53.601961,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,612392,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
49,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601996,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,612477,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
50,ICMP PING NMAP,2018年-05月-20日  12:47:53.601996,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,612561,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
51,ICMP PING,2018年-05月-20日  12:47:53.601996,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,612647,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
52,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.602030,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,612744,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
53,ICMP PING NMAP,2018年-05月-20日  12:47:53.602030,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,612836,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
54,ICMP PING,2018年-05月-20日  12:47:53.602030,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,612919,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
55,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.602065,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,613002,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
56,ICMP PING NMAP,2018年-05月-20日  12:47:53.602065,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,613120,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
57,ICMP PING,2018年-05月-20日  12:47:53.602065,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,613254,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
58,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.602099,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,613409,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
59,ICMP PING NMAP,2018年-05月-20日  12:47:53.602099,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,613498,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
